materia_name,type,target,mp_cost,power,description
파이어,DAMAGE,ENEMY,10,5,달을 향해 울부짖는 전사의 기억이 떠오른다.
파이라,DAMAGE,ENEMY,15,15,대지를 찢어발기는 전사의 기억이 떠오른다.
파이가,DAMAGE,ALL_ENEMY,15,10,별이 보이는 곳에서 맹세하는 전사의 기억이 떠오른다.
블리자드,DAMAGE,ENEMY,10,5,마치 여러개의 손을 가진 듯 공격하는 무투가의 기억이 떠오른다.
블리자라,DAMAGE,ENEMY,15,15,마치 운석처럼 떨어지듯 공격하는 무투가의 기억이 떠오른다.
블리자가,DAMAGE,ALL_ENEMY,15,10,"피아노의 소리가 들리고, 술잔을 나누는 것을 지켜보던 무투가의 기억이 떠오른다."
선더,DAMAGE,ENEMY,10,5,그 누구보다 용감하게 검을 베는 검사의 기억이 떠오른다.
선더라,DAMAGE,ENEMY,15,15,별 아래에서 소녀와 약속을 나눈 검사의 기억이 떠오른다.
선더가,DAMAGE,ALL_ENEMY,15,10,투명한 마테리아가 땅에 떨어지는 소리가 난다.
알테마,DAMAGE,ALL_ENEMY,30,50,"나약함을 받아들이며, 누군가의 살아있는 유산이 되어도, 반드시 목표를 이루리란 다짐이 마음 속에 퍼진다."
케알,HEAL,ALLY,10,5,생명을 치유하는 바람이 꽃장수를 간질였던 기억이 떠오른다.
케알라,HEAL,ALLY,15,15,자연의 고동에 귀를 기울이던 꽃장수의 기억이 떠오른다.
케알가,HEAL,ALL_ALLY,15,10,별의 위대한 복음을 듣고 말았던 꽃장수의 기억이 떠오른다.
풀케어,HEAL,ALL_ALLY,20,20,기도하듯 손을 모은 꽃장수의 기억이 떠오른다.
