monster_id,monster_name,type,max_hp,physics,magic,agility,charm,materia_owned,magic_enabled_flag,damage_reaction_message
test_one,테스트,Normal,80,10,10,10,10,파이어,1,"[""테테테테토테토"",""테테테"", ""테토리스""]"
test_two,테슽트,Normal,50,10,10,10,10,없음,0,
test_nnnnn,네카네,Normal,100,40,40,40,20,알테마,1,
test_mmmm,맥,Normal,50,20,40,20,20,풀케어,1,
boss_test,보스,Boss,300,30,60,10,10,파이가,1,"[""크큭...쿠로마테리아..."", ""테테토테토테토""]"
final_boss_berserk_rachel,광폭화된 라켈,Boss,990,24,10,30,10,없음,0,"[
  ""**크아아아아!**"",
  ""**끄으윽...**"",
  ""...!"",
  ""**(날카로운 울부짖음)**"",
  ""**(숨을 거칠게 몰아쉰다)**""
]"
rachel_weakend,라켈 이아마네,Boss,100,10,10,10,10,파이쟈,1,"[""사라져, 사라져, 사라져...!"", ""으아아아악!!!"", ""죽어, 죽어!!"", ""크윽...""]"
mid_boss_prototype,알 수 없는 실험체,Boss,428,18,14,13,10,파이어,1,"[""**(괴로운 듯한 비명)**"", (고통에 격렬하게 몸부림친다.), ""**꾸르르륵...**""]"
failed_clone_one,실패한 복제체1,Normal,100,14,10,12,10,없음,0,"[
  ""..."",
  ""크... 윽..."",
  ""(신음소리)""
]"
failed_clone_two,실패한 복제체2,Normal,100,14,10,12,10,없음,0,"[
  ""..."",
  ""크... 윽..."",
  ""(신음소리)""
]"
mid_boss_mother_flora,모체 식물,Boss,315,6,20,5,10,케알,1,"[
  ""(덩굴이 격렬하게 요동친다)"",
  ""(끈적한 수액이 흘러내린다)"",
  ""**쉬이이이익...**""
]"
spore_spreader_one,포자 발생체1,Normal,158,2,12,9,10,없음,0,"[
  ""(포자가 터진다)"",
  ""...""
]"
spore_spreader_two,포자 발생체2,Normal,158,2,12,9,10,없음,0,"[
  ""(포자가 터진다)"",
  ""...""
]"
